6,"If you use arguments x = 1, y = 2, you should get 3"
6,"If you use arguments x = 2, y = 3, you should get 5"
7,"If you use arguments x = 1, y = 2, you should get 2"
7,"If you use arguments x = 2, y = 3, you should get 6"
8,"If you use arguments x = 2, y = 1, you should get 2"
8,"If you use arguments x = 9, y = 3, you should get 3"
9,"If you use arguments x = 2, y = 1, you should get 1"
9,"If you use arguments x = 5, y = 3, you should get 2"
10,"If you use arguments x = 1, you should get 1"
10,"If you use arguments x = 2, you should get 4"
