6,"If you use arguments x = 1, y = 2, you should get 3","{""argc"": ""2"", ""result"": ""3"", ""parameters"": {""0"": ""1"", ""1"": ""2""}}"
6,"If you use arguments x = 2, y = 3, you should get 5","{""argc"": ""2"", ""result"": ""5"", ""parameters"": {""0"": ""2"", ""1"": ""3""}}"
7,"If you use arguments x = 1, y = 2, you should get 2","{""argc"": ""2"", ""result"": ""2"", ""parameters"": {""0"": ""1"", ""1"": ""2""}}"
7,"If you use arguments x = 2, y = 3, you should get 6","{""argc"": ""2"", ""result"": ""6"", ""parameters"": {""0"": ""2"", ""1"": ""3""}}"
8,"If you use arguments x = 2, y = 1, you should get 2","{""argc"": ""2"", ""result"": ""2"", ""parameters"": {""0"": ""2"", ""1"": ""1""}}"
8,"If you use arguments x = 9, y = 3, you should get 3","{""argc"": ""2"", ""result"": ""3"", ""parameters"": {""0"": ""9"", ""1"": ""3""}}"
9,"If you use arguments x = 2, y = 1, you should get 1","{""argc"": ""2"", ""result"": ""1"", ""parameters"": {""0"": ""2"", ""1"": ""1""}}"
9,"If you use arguments x = 5, y = 3, you should get 2","{""argc"": ""2"", ""result"": ""2"", ""parameters"": {""0"": ""5"", ""1"": ""3""}}"
10,"If you use arguments x = 1, you should get 1","{""argc"": ""1"", ""result"": ""1"", ""parameters"": {""0"": ""1""}}"
10,"If you use arguments x = 2, you should get 4","{""argc"": ""1"", ""result"": ""4"", ""parameters"": {""0"": ""2""}}"
